char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
㐤,㐤,U+3424,dān qiú,dan qiu,dān,"10263.070:dān,qiú","to implore; to beseech, to seek after, to beg; to pray","kMandarin,kHanyuPinyin"
㐸,㐸,U+3438,qiàn cì,qian ci,qiàn,"10125.020:qiàn,cì","(non-classical form of 欠) to owe money, deficient, to yawn, last name","kMandarin,kHanyuPinyin"
㐺,㐺,U+343A,yín zhòng,yin zhong,yín,"10124.030:yín,zhòng","(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)","kMandarin,kHanyuPinyin"
㑌,㑌,U+344C,kuāng wāng,kuang wang,kuāng,"10143.120:wāng,kuāng",(same as 尪) weak; a rickety person; emaciated,"kMandarin,kHanyuPinyin"
㑜,㑜,U+345C,yì chì,yi chi,yì,"10156.130:yì,chì",(a dialect) to engrave,"kMandarin,kHanyuPinyin"
㑇,㑳,U+3473,zhòu zhū,zhou zhu,zhòu,"10204.060:zhòu,zhū","(same as 媰) pregnant (妊娠, 妊身); cruel; pretty, cute, clever, ingenious, smart; to be hired; (used for 謅) to jest, to chaff, to bawl, mean person (as opposed to real gentleman)","kMandarin,kHanyuPinyin"
㒀,㒀,U+3480,zhāi zhǎ,zhai zha,zhāi,"10214.090:zhāi,zhǎ",do not fear to,"kMandarin,kHanyuPinyin"
㒑,㒑,U+3491,kuǐ huì,kui hui,kuǐ,"10224.090:kuǐ,huì","grow up, commodity prices","kMandarin,kHanyuPinyin"
㒔,㒔,U+3494,shú dú tù,shu du tu,shú,"10225.090:shú,dú,tù","to shake one's head, ugly, not in peace","kMandarin,kHanyuPinyin"
㒚,㒚,U+349A,yìn wěn,yin wen,yìn,"10231.080:yìn,wěn","(same as 穩) firm; stable; secure, dependent upon others","kMandarin,kHanyuPinyin"
㒝,㒝,U+349D,miè wà,mie wa,miè,"10233.010:miè,wà",to deceive; artful; false,"kMandarin,kHanyuPinyin"
㓡,㓡,U+34E1,fǔ guā,fu gua,fǔ,"10335.020:fǔ,guā","(same as 弣) the middle part of a bow; the handle of a bow, try to dig and get something with a knife","kMandarin,kHanyuPinyin"
㓣,㓣,U+34E3,qià gē,qia ge,qià,"10336.080:qià,gē","to sink into; to pierce, (ancient form of 割) to cut; to hack; to reap","kMandarin,kHanyuPinyin"
㓩,㓩,U+34E9,xuān jiē,xuan jie,xuān,"10342.140:xuān,jiē",horned hair,"kMandarin,kHanyuPinyin"
㓱,㓱,U+34F1,tóu shū,tou shu,tóu,"10349.020:tóu,shū","to cut; to cut out; to pick out; to scoop out, (same as 鄃) name of a county in today's Shandong province","kMandarin,kHanyuPinyin"
㓸,㓸,U+34F8,zhuō dōu,zhuo dou,zhuō,"10352.040:zhuō,dōu","(same as 斲) to cut to pieces; to hack; to chop or hew, to carve for ornaments","kMandarin,kHanyuPinyin"
㓹,㓹,U+34F9,ruì cuì jì,rui cui ji,ruì,"10349.200:ruì,cuì,jì","(same as 銳) a sharp-pointed weapon, acute; zealous; valiant, wound, minor injury","kMandarin,kHanyuPinyin"
㓺,㓺,U+34FA,jiān qián,jian qian,jiān,"10350.010:jiān,qián","castration, to pare; to scrape; to sharpen to a point","kMandarin,kHanyuPinyin"
㓾,㓾,U+34FE,xī chí,xi chi,xī,"10356.100:xī,chí","to wound the skin; to cut open; to open out, ripped","kMandarin,kHanyuPinyin"
㔃,㔃,U+3503,jué xuē,jue xue,jué,"10355.010:jué,xuē","(same as 絕) to cut short; to break off; to interrupt, to drag; to pull","kMandarin,kHanyuPinyin"
㔊,㔊,U+350A,zhǎn dǎn,zhan dan,zhǎn,"10359.050:zhǎn,dǎn","to cut; to hack; to reap, to strike; to attack, to chastise rebels","kMandarin,kHanyuPinyin"
㔋,㔋,U+350B,jiān lán,jian lan,jiān,"10360.140:jiān,lán","cut into thin slices; to mince, sharp","kMandarin,kHanyuPinyin"
㔌,㔌,U+350C,zòu cǒu,zou cou,zòu,"10360.110:zòu,cǒu","to cut off; to mince, to cut up firewood","kMandarin,kHanyuPinyin"
㔍,㔍,U+350D,chuā zhá,chua zha,chuā,"10360.190:chuā,zhá","a hinged shear or long knife for cutting fodder; sheet-iron; etc., to cut up; to mince","kMandarin,kHanyuPinyin"
㔏,㔏,U+350F,lì luǒ,li luo,lì,"10361.150:lì,luǒ","(same as 剆) to cut open, to strike against; to clash together","kMandarin,kHanyuPinyin"
㔗,㔗,U+3517,fèi bèi fú,fei bei fu,fèi,"10369.030:fèi,bèi,fú","strong; healthy, to clasp under the arm, to persecute; to oppress, vigorous","kMandarin,kHanyuPinyin"
㔠,㔠,U+3520,xiā hé,xia he,xiā,"10375.050:xiā,hé","industry, sound of making strenuous efforts","kMandarin,kHanyuPinyin"
㔢,㔢,U+3522,jué xuē,jue xue,jué,"10381.060:jué,xuē","to break something, to drag; to pull","kMandarin,kHanyuPinyin"
㔥,㔥,U+3525,bài pí,bai pi,bài,"10382.060:bài,pí","(non-classical form of 疲) full of anger; fierce anger, tired; weary; exhausted","kMandarin,kHanyuPinyin"
㔯,㔯,U+352F,xuán suǎn,xuan suan,xuán,"10085.050:xuán,suǎn","(same as 匴) a large basket for holding cooked rice, a kind of tray made of bamboo used in ancient time","kMandarin,kHanyuPinyin"
㔶,㔶,U+3536,gòng gǎn,gong gan,gòng,"10091.090:gòng,gǎn","a small cup, a box; a chest, a granary, cover of a vessel","kMandarin,kHanyuPinyin"
㔾,㔾,U+353E,xiān jié,xian jie,xiān,"10310.100:xiān,jié","(same as 筄) last name; Kangxi radical 26; a joint, a seal, (ancient form of 節)","kMandarin,kHanyuPinyin"
㕂,㕂,U+3542,yín qín,yin qin,yín,"10069.170:yín,qín","(ancient form of 吟) to hum; to intone, to moan, to sigh, high ridges of cliffs, pebble ground","kMandarin,kHanyuPinyin"
㕟,㕟,U+355F,kuì kuài,kui kuai,kuì,"10397.110:kuì,kuài","(same as 喟) to sign; to lament, to stop, to cut off; to sever; to interrupt","kMandarin,kHanyuPinyin"
